"uri","title","popularity","base_popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","n_artists","n_genres","followers"
"000TiSS4vK5su0MkoFyQbd","Tenebre",2.41544233885736,57.5,0.72,0.646,6,-7.691,0,0.106,0.237,0,0.127,0.0958,80.013,159250,4,2,2,2572169
"00218i6cYENiDszmBKsYYg","Gxldchainnn",3.06120527058825,56,0.706,0.473,0,-8.085,0,0.0926,0.984,0.0242,0.106,0.59,87.412,132657,4,1,1,44314
"003vvx7Niy0yvhvHt4a68B","Mr. Brightside",3.83276721424061,81,0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,222973,4,1,1,6329825
"006Hbb4llOgdyFk3jj5NC9","Oh, Vita!",2.99563313146207,66,0.707,0.867,1,-8.435,1,0.107,0.257,0,0.3,0.7,90.997,214853,4,1,1,2074571
"00Blm7zeNqgYLPtW6zg8cj","One Right Now (with The Weeknd)",1.89612369903564,94.5,0.687,0.781,1,-4.806,1,0.053,0.0361,0,0.0755,0.688,97.014,193507,4,2,2,40135257
"00GxbkrW4m1Tac5xySEJ4M","Ti volevo dedicare (feat. J-AX & Boomdabash)",3.4524791465792,67,0.754,0.725,8,-6.058,1,0.066,0.0104,0,0.192,0.271,120.003,208133,4,3,2,1913648
"00H5L2XZlL0z0QKosw3zxW","Vediamoci stasera",4.64408402037189,56,0.691,0.829,11,-5.638,1,0.0403,0.156,0,0.336,0.625,92.979,186774,4,3,3,228191
"00QN58Gx571pB1MEuBAcmL","Parlami",5.11642521043984,60,0.548,0.919,9,-5.348,1,0.19,0.255,0,0.0984,0.385,165.942,169181,4,2,2,267436
"00SmB7n85SKROGjybsyq5i","Bongo Bong",2.39259876649953,70,0.755,0.545,9,-10.027,0,0.0646,0.944,0.000118,0.144,0.964,149.807,158427,4,1,1,1219528
"00b7i3sXa6hlR2ZIDwyNLN","Prima di andare via",2.95893316598643,64,0.834,0.682,4,-4.286,0,0.0313,0.0518,8.06e-06,0.107,0.944,111.002,231093,4,1,1,254243
