uri,title,popularity,base_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,n_artists,n_genres,followers_0,followers_1,followers_2,followers_3,followers_4,followers_5,followers_6
000TiSS4vK5su0MkoFyQbd,Tenebre,48,57.5,0.72,0.646,6,-7.691,0,0.106,0.237,0,0.127,0.0958,80.013,159250,4,2,2,103731,0,0,0,2572169,0,0
00218i6cYENiDszmBKsYYg,Gxldchainnn,56,56,0.706,0.473,0,-8.085,0,0.0926,0.984,0.0242,0.106,0.59,87.412,132657,4,1,1,0,0,44314,0,0,0,0
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,85,81,0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,222973,4,1,1,0,6329825,0,0,0,0,0
006Hbb4llOgdyFk3jj5NC9,"Oh, Vita!",48,66,0.707,0.867,1,-8.435,1,0.107,0.257,0,0.3,0.7,90.997,214853,4,1,1,0,0,0,0,2074571,0,0
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),93,94.5,0.687,0.781,1,-4.806,1,0.053,0.0361,0,0.0755,0.688,97.014,193507,4,2,2,35389830,0,0,0,0,40135257,0
00GxbkrW4m1Tac5xySEJ4M,Ti volevo dedicare (feat. J-AX & Boomdabash),65,67,0.754,0.725,8,-6.058,1,0.066,0.0104,0,0.192,0.271,120.003,208133,4,3,2,0,0,1913648,0,579856,0,0
00H5L2XZlL0z0QKosw3zxW,Vediamoci stasera,48,56,0.691,0.829,11,-5.638,1,0.0403,0.156,0,0.336,0.625,92.979,186774,4,3,3,25946,0,0,0,228191,34665,0
00MBJn4EyvZmKaas5dAS3y,Don't Be Shy,0,88,0.77,0.787,11,-3.748,0,0.0583,0.198,0,0.262,0.513,119.986,140500,4,2,2,0,0,0,6104818,0,0,20740566
00QN58Gx571pB1MEuBAcmL,Parlami,67,60,0.548,0.919,9,-5.348,1,0.19,0.255,0,0.0984,0.385,165.942,169181,4,2,2,1825,0,267436,0,0,0,0
00SmB7n85SKROGjybsyq5i,Bongo Bong,68,70,0.755,0.545,9,-10.027,0,0.0646,0.944,0.000118,0.144,0.964,149.807,158427,4,1,1,1219528,0,0,0,0,0,0
00b7i3sXa6hlR2ZIDwyNLN,Prima di andare via,53,64,0.834,0.682,4,-4.286,0,0.0313,0.0518,8.06E-06,0.107,0.944,111.002,231093,4,1,1,0,0,254243,0,0,0,0
00gEB0MSDWojSbzIt1TrFT,Blitz! (feat. Geolier),75,77,0.766,0.674,0,-6.728,1,0.264,0.191,0,0.115,0.442,125.128,180267,4,2,1,0,0,1778304,0,0,0,0
00sK58fuoRUhYrF5QtLrin,Qualcosa qualcuno,39,61,0.694,0.38,0,-13.908,1,0.024,0.471,1.30E-05,0.139,0.711,97.454,261227,4,1,1,0,0,0,0,246675,0,0
00smzdpN2KUfB5Jod6glG4,Boy (feat. Rondodasosa),61,67.33333333,0.709,0.608,1,-8.002,1,0.239,0.0238,0,0.121,0.396,143.052,204755,4,3,2,395,0,285461,0,0,0,0
017UbA7KnJxsZeNLKrLY36,w,0,3,0.387,0.464,6,-12.474,1,0.251,0.0105,0.000293,0.0895,0.391,87.389,241859,4,1,1,518,0,0,0,0,0,0
0188AG0rjqVWbYhDPd8rgr,Karaoke,56,64,0.929,0.625,1,-5.728,1,0.14,0.289,1.20E-06,0.386,0.578,122.03,156493,4,2,1,0,0,0,0,1260522,0,0
018Idkvf82hi44UZmIXiGB,"Never Seen Anything ""Quite Like You"" - Acoustic",64,77,0.444,0.398,6,-8.01,1,0.03,0.799,0,0.114,0.361,79.874,228147,3,1,1,0,7039397,0,0,0,0,0
01BCvCKQNDmFQQQSjrzPnm,GHIGLIOTTINA - feat. Noyz Narcos,66,71.5,0.541,0.686,1,-5.196,1,0.371,0.0122,0,0.152,0.521,93.963,186733,4,2,1,0,0,2134380,0,0,0,0
01JQSpq0xPPwUpN2uVNiry,S,3,27,0.712,0.987,0,-2.89,1,0.0424,0.0024,0.00361,0.0575,0.644,110.045,200046,4,1,1,7798,0,0,0,0,0,0
