artist,popularity,base_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,n_artists,n_genres
00c7ELPliPqlrzTxiJ5ZL1,24,15,0.529,0.695,10,-8.826,0,0.131,0.178,0,0.343,0.702,139.011,138187,4,1,1
00CMSJdbf36zOzKB3z8JrR,78,73,0.751,0.884666667,9.666666667,-3.295333333,1,0.1158,0.078343333,0,0.409666667,0.546,128.023,241637.3333,4,3,1.666666667
00CsjN69YCczmdW0bDKaCC,52.4,55.7,0.6758,0.7682,5,-6.8208,0.6,0.135,0.2206184,0,0.11076,0.6178,102.9474,222244.2,4,1.6,1.2
00FQb4jTyendYWaN8pK0wa,78,83.25,0.448,0.613,6,-7.3555,0,0.0463,0.13885,0,0.12,0.1305,120.019,225482.5,4,1.5,1.5
00RKCZgePaWjynJYjZxPgV,38,33,0.75,0.611,2.5,-26.2815,1,0.257,0.000010305,1,0.0826,0.09225,130.333,34338,4,1,0
00w9sdZ78mWArooTmiSTld,57.75,61,0.60575,0.54775,4.25,-10.91925,1,0.033125,0.45125,0,0.190525,0.77325,129.22475,255751.75,3.75,1,1
01h9jm5CrO5E0Z841iuKA6,9,22,0.832,0.637,0,-8.694,1,0.0678,0.244,1,0.109,0.806,122.992,520017,4,1,1
01kWaiwBGtk1gsVcMv2m1e,43,48.5,0.579,0.945,9,-3.933,1,0.0444,0.00637,0,0.169,0.415,112.03,161000,4,2,2
01lVP0L85U9jYVREPOB8RG,53,59.04166667,0.719,0.728666667,5.666666667,-4.722,0.333333333,0.148,0.094366667,0,0.195333333,0.631666667,129.2786667,157380.3333,4,4,2.333333333
01UnKmTSSnBOuSbadqxcz3,38,38,0.632,0.592,5,-6.336,1,0.0275,0.353,1,0.0887,0.445,111.027,345293,4,3,2
01veRCzqGIkUMo7L5PyBAD,72,56.5,0.592,0.214,1,-13.468,1,0.115,0.936,0,0.253,0.422,81.672,117037,4,2,1
027TpXKGwdXP7iwbjUSpV8,92,78,0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,160240,4,1,1
027y7WtCHLPyUJr50Q0p6E,41,44.8,0.72,0.782,3,-7.221,0,0.314,0.274,0,0.228,0.91,104.959,157747,4,5,3
02frazNrWgZCxUEf4UTfHt,2,39,0.241,0.354,2,-12.341,1,0.0336,0.0662,1,0.119,0.138,87.938,266160,4,1,1
02G0wSA5mAINnHX3nTCaHi,47,49,0.566,0.823,4,-4.635,1,0.0397,0.0208,1,0.15,0.832,129.999,261760,4,1,1
02HjKECtF08ZgloUOOyWHo,54,38.5,0.592,0.614,11,-9.098,0,0.192,0.468,0,0.188,0.285,73.023,247876,4,2,2
02i5S2ZvFZTFVSlhO7umae,49,53.66666667,0.708,0.457,2,-8.262,1,0.0645,0.573,0,0.111,0.41,132.961,173233,4,3,2
02kJSzxNuaWGqwubyUba0Z,79,83.5,0.6725,0.7025,1,-6.4305,0.5,0.09135,0.0359,0,0.233,0.29,99.9515,260167,4,2,2
02qlwM8fpqep7vX8KKEFmK,53,65.25,0.709,0.798,8,-5.673,0.5,0.034,0.008225,1,0.3075,0.216,119.995,175202.5,4,2,2
02wrovsROEQpMXNTxk8uHI,70,65,0.591,0.682,8,-2.974,1,0.308,0.00193,0,0.103,0.277,108.953,213000,5,2,1
03d2mJXSMtuPI0nIvLnhoS,74.5,78.5,0.658,0.5835,3.5,-6.0015,1,0.04235,0.12955,0,0.14,0.4605,97.045,178975.5,3.5,2,2
03hK7y0FwbAU0GbP8eXmbu,43,28,0.721,0.79,1,-8.617,0,0.359,0.207,0,0.182,0.799,141.754,179174,4,2,1
03zMprDSi8xGJbXYayx6ly,44,42,0.517,0.483,4,-5.264,0,0.0373,0.857,0,0.114,0.522,106.764,168643,3,1,1
048LktY5zMnakWq7PTtFrz,89.33333333,81.5,0.649333333,0.686,5.666666667,-4.925666667,1,0.1134,0.460333333,1,0.1093,0.487666667,132.9826667,156549.6667,3.666666667,2,1.666666667
04gDigrS5kc9YWfZHwBETP,80.09090909,88.36363636,0.710363636,0.695454545,4.272727273,-5.986636364,0.454545455,0.060681818,0.155144091,0,0.181518182,0.599909091,123.8057273,222877.8182,4,1.545454545,1.545454545
056KMTw6IztdQjBmFfVyO3,56.48076923,71.01643773,0.651538462,0.672076923,5.692307692,-6.620307692,0.365384615,0.161751923,0.262663654,0,0.183053846,0.443461538,112.5427885,193705,4.019230769,2.5,1.480769231
057gc1fxmJ2vkctjQJ7Tal,73,61,0.68,0.678,1,-11.548,1,0.0754,0.103,1,0.204,0.251,131.165,252773,4,1,1
058thnz6odaxoAN4n3cMBN,49,48,0.562,0.525,2,-6.688,0,0.0301,0.0372,0,0.129,0.21,134.713,213867,3,1,1
05brE7yGJDmIYlMirfSi0B,61,65,0.621,0.728,3,-4.667,0,0.0446,0.0434,0,0.101,0.178,83.021,226808,4,2,2
05JkDGFMHqlIz0GPjLh2p3,56,53,0.343666667,0.349,5,-11.12866667,1,0.043333333,0.755333333,0,0.260566667,0.222133333,149.956,279151.3333,4,1,1
05kigUQCchmbJDmhDiYiS0,55.25,62.95833333,0.711,0.64825,6.125,-7.295125,0.75,0.176025,0.17865375,0,0.1745,0.534375,104.360875,180911.125,4,1.5,1.375
05oH07COxkXKIMt6mIPRee,0,35.66666667,0.532,0.711,10,-1.608,0,0.361,0.246,0,0.309,0.739,186.268,237200,4,3,2
05OYdU3diEpNYjaAHNaZTt,51.5,61.25,0.5905,0.6605,3.5,-8.154,0.5,0.306,0.504,0,0.3765,0.493,140.2625,179312.5,4,2,2
05YVYeV4HxYp5rrWalvuE1,78.5,72.25,0.746,0.463,10,-13.5925,0,0.0976,0.4285,1,0.04795,0.591,95.612,441133,4,1.5,1.5
061DeTQNd4aDwb6VqHq8O1,56.5,48.25,0.5295,0.473,8,-12.1605,1,0.0998,0.7415,0,0.39815,0.575,147.763,152165.5,4,1.5,1.5
064Wlx4YXsDEqEG0o5Hjxg,60,49.25,0.316,0.524,11,-7.713,0,0.0454,0.0384,1,0.099,0.488,129.418,199856,4,4,2
06HL4z0CvFAxyc27GXpf02,84.3,98.05,0.5945,0.599,4.3,-6.7004,0.8,0.04255,0.13314,0,0.11295,0.4316,112.8644,271464.1,4,1.2,1
06nvjg4wBANK6DCHjqtPNd,58,68.2,0.7112,0.7117,4.9,-5.8151,0.4,0.0962,0.2623159,0,0.21529,0.4973,119.9303,188006.3,4,2,1.5
071lEROKmwZgeCphlvp58N,63,51,0.529,0.817,7,-6.355,1,0.0768,0.0498,0,0.348,0.608,130.04,313934,4,1,1
07c4RH1uGAtmQbhhbprM7a,49.5,48,0.7645,0.6215,7.5,-6.934,0,0.16765,0.2085,0,0.17875,0.568,121.507,172220.5,4,1,1
07QEuhtrNmmZ0zEcqE9SF6,80,75,0.56,0.872,3,-4.269,1,0.14,0.0239,0,0.371,0.682,126.05,205933,4,2,2
07vycW8ICLf5hKb22PFWXw,55,64,0.407,0.811,5,-6.776,1,0.0445,0.00757,1,0.14,0.14,89.987,154147,4,1,1
07XSN3sPlIlB2L2XNcTwJw,83,76,0.768,0.852,4,-6.215,1,0.038,0.214,0,0.0723,0.867,128.373,271240,4,1,1
07YZf4WDAMNwqr4jfgOZ8y,82,82.6,0.7528,0.7302,4.2,-4.74,0.8,0.06936,0.09964,0,0.18572,0.7336,116.24,182136.6,4,1.8,1.4
085pc2PYOi8bGKj0PNjekA,72,76.91666667,0.7265,0.76675,6.5,-5.13075,0.5,0.09955,0.16335,0,0.18325,0.53325,116.18725,235866.5,4,2.25,1.75
08F3Y3SctIlsOEmKd6dnH8,77,72,0.4875,0.434,3.5,-10.4,1,0.03565,0.443,1,0.1063,0.469,144.548,210840,4,1,1
08GQAI4eElDnROBrJRGE0X,86,83,0.828,0.492,0,-9.744,1,0.0276,0.0644,1,0.128,0.789,120.151,257800,4,1,1
08Ld63UgKrJ0nZnCkzHtzc,90,88,0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,242966,4,3,1
08LjovlGCVPQpTm9Olc45l,11,21.66666667,0.738,0.823,2,-6.956,1,0.119,0.0296,0,0.0985,0.468,126.996,203480,4,3,1
08ppjXEpROUgrG1X0DEquB,48,48.66666667,0.6005,0.784,10.5,-4.633,0,0.2675,0.07945,0,0.12325,0.5565,120.667,166246.5,4,2.5,1.5
09agIJMxCD2k87ys9Al0f0,51,64.66666667,0.729,0.799,8,-6.135,1,0.026,0.115,1,0.153,0.293,124.951,165729,4,3,3
09Ak75DreA3MyOrX8vTioe,59,55,0.669,0.893,1,-6.042,1,0.0599,0.0879,0,0.167,0.758,128.036,170625,4,3,2
09hVIj6vWgoCDtT03h8ZCa,72,70,0.848,0.666,0,-6.547,1,0.274,0.173,1,0.129,0.744,96.662,251573,4,1,1
09LxneoTmRpuN3Jp8Ut4EX,53.5,53,0.75,0.706,2.5,-5.65,1,0.1358,0.1547,0,0.17145,0.6845,118.0065,229853.5,4,1,1
09RCGJbPIC8CxxKedqRbb6,56,57,0.757,0.584,5,-5.036,0,0.211,0.0255,1,0.0465,0.856,127.929,191164,4,3,2
09zIUwByZRf1gIqdj9mv7q,1,2,0.67,0.277,6,-12.575,1,0.0775,0.866,0,0.11,0.176,103.795,138755,4,1,1
0A0FS04o6zMoto8OKPsDwY,70,79.33333333,0.88,0.67,2,-5.177,1,0.0468,0.325,0,0.0662,0.131,101.008,299227,4,3,2
0aF4uopelh675gJDvtpCnU,48,50,0.735,0.836,11,-5.686,0,0.0564,0.00732,0,0.196,0.512,124.015,120284,4,2,2
0AiTwNtYX8m4uhfU7rJ8RD,15,51,0.812,0.4,11,-11.057,0,0.078,0.619,1,0.0985,0.565,106.851,315253,3,1,1
0AKaGOjJkxnPFYwdK252sp,56,57.41666667,0.696,0.7595,5,-3.7895,0.5,0.2485,0.28105,0,0.285,0.641,136.8965,153166.5,4,2.5,2
0AkpPlFLnr0VQwZQeMGht0,78,63,0.72,0.808,6,-5.627,1,0.0379,0.00793,1,0.0634,0.869,126.041,307154,4,1,1
0AT9LCo2qxiTWGC4w3OW87,1,15,0.774,0.184,2,-19.439,1,0.128,0.135,0,0.226,0.176,115.016,111504,4,1,1
0awl5piYwO0CDTHEkCjUhn,79,67,0.729,0.675,8,-6.003,1,0.0312,0.175,0,0.55,0.779,119.968,245867,4,1,1
0B3N0ZINFWvizfa8bKiz4v,79,74,0.681,0.453,7,-6.09,1,0.0278,0.263,0,0.0543,0.348,125.772,216560,4,1,1
0b538hbhh37zuCZg6W1sKg,49,35,0.253,0.783,10,-5.627,1,0.233,0.277,0,0.0901,0.469,185.225,232464,4,1,1
0ba6wsfB7G2rhdHMebCdO3,48,60.61363636,0.6085,0.79,4.25,-5.3305,0.5,0.177425,0.0650075,0,0.311375,0.659,115.6045,211765,4,4,1.75
0bAsR2unSRpn6BQPEnNlZm,81,73,0.367,0.896,11,-4.002,1,0.091,0.000627,0,0.207,0.38,170.863,184893,4,1,1
0bBz5bRBkExaej2HxtVfCw,82,74,0.9075,0.397,8.5,-8.5865,0.5,0.2215,0.714,0,0.1455,0.537,137.483,158972.5,4,1,1
0bdfiayQAKewqEvaU6rXCv,73,83.66666667,0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,185352,4,3,2
0bdJZl7TDeiymDYzMJnVh2,67,77.5,0.747,0.833,3,-2.867,0,0.045,0.374,0,0.0586,0.687,128.008,215760,4,4,3
0Be7S4Y84fABK93znoAeVO,54,44,0.635,0.355,6,-10.028,0,0.0389,0.882,0,0.126,0.407,108.933,246987,4,1,1
0BHo5QBLAjH32hoe4xHGYq,54,60.5,0.834,0.674,1,-4.23,1,0.134,0.111,1,0.129,0.466,118.021,136271,4,2,2
0biEXjykPZh6CSG2Jwvl9Q,41,32,0.726,0.63,7,-9.005,0,0.0489,0.613,0,0.124,0.808,80,178500,4,1,1
0BKx4UjPvXVGY15u0xFbbi,71,68.66666667,0.863,0.471,6,-9.545,1,0.478,0.251,0,0.121,0.644,140.969,252907,4,6,2
0bMKf3lIYR9GaNTdFKkTOr,52,71.5,0.765,0.762,11,-5.069,0,0.123,0.42,0,0.104,0.444,114.975,153391,4,2,2
0BmLNz4nSLfoWYW1cYsElL,74,65,0.726,0.931,11,-4.152,0,0.0468,0.0218,1,0.143,0.797,126.976,195105,4,1,1
0BmZkZo4uxyJnrkAl8H6vG,45,30,0.63,0.733,10,-6.318,1,0.0386,0.077,0,0.306,0.314,120.308,224000,4,1,1
0BqURncJM5B1BBu7UM51eq,78,72,0.905,0.686,0,-3.152,1,0.0664,0.0907,0,0.266,0.963,103.013,155825,4,2,2
0C0XlULifJtAgn6ZNCW2eu,72.66666667,81,0.500666667,0.861,7,-6.432666667,1,0.067466667,0.015943333,0,0.1047,0.409333333,135.85,251235.3333,4,1,1
0c173mlxpT3dSFRgMO8XPh,76,81.8,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,223413,4,5,4
0c3nNEzSsJIRjBsLhujxaH,51,39,0.829,0.472,8,-10.273,1,0.466,0.296,0,0.0993,0.5,140.221,125246,4,1,1
0c5nXKT37cYsbaXiw5mFVk,58,52,0.592,0.832,9,-5.193,1,0.043,0.215,0,0.111,0.775,140.627,255213,4,2,2
0C8ZW7ezQVs4URX5aX7Kqx,80.375,86.8125,0.709875,0.591375,4.625,-6.5805,0.5,0.1068,0.2435625,0,0.1268,0.415475,112.551125,211952.875,4,2.375,1.375
0cA0C4yBNRaN2EZsE2wT3Y,76,63,0.458,0.696,11,-4.742,1,0.0402,0.285,0,0.123,0.418,174.141,207069,4,2,2
0CbeG1224FS58EUx4tPevZ,70,77.5,0.57,0.893,11,-4.9845,1,0.1105,0.233,0,0.195,0.1485,106.5945,153304,3,2,2
0cc6vw3VN8YlIcvr1v7tBL,79,74,0.359,0.981,7,-3.622,0,0.303,0.00125,1,0.284,0.271,178.98,282653,4,1,1
0CcmU1Eun8Nwb3VlOAeJUK,22,48,0.452,0.979,7,-8.337,1,0.0799,0.0000089,1,0.311,0.455,135.974,84693,4,3,1
0cCNT5RyWndpS7Zx7ISEDw,75,65,0.745,0.972,7,-3.506,1,0.0774,0.00903,1,0.297,0.556,128.031,189818,4,3,1
0cDVzuIYqyv6lKqbgmukVt,0.25,24.75,0.227375,0.2294375,4.75,-17.182875,0.75,0.0392125,0.988875,1,0.16225,0.1985875,81.424875,162073,3.5,4,1
0cdy04S4dsn9z5X4OTy8cH,55.5,45,0.53,0.641,8,-6.072,0.5,0.04355,0.09325,0,0.1065,0.389,107.9335,199338.5,4,1,1
0CEK8AzyeD5ZUdUloB6yQV,65,71.33333333,0.703,0.868,7,-4.661,0,0.0291,0.15,1,0.104,0.733,121.03,193613,4,3,2
0Cp8WN4V8Tu4QJQwCN5Md4,66,70,0.862,0.631,7,-4.746,1,0.0515,0.291,1,0.123,0.841,128.978,223488,4,2,1
0CXnO9kUawdDjzToSqCC3p,56,63.11111111,0.620666667,0.652,4.333333333,-6.86,1,0.211,0.1173,0,0.191666667,0.574666667,110.902,167108.3333,4.333333333,3,1
0daugAjUgbJSqdlyYNwIbT,76,66.5,0.605,0.783,3,-4.271,1,0.0324,0.299,1,0.133,0.105,124.015,208562,4,2,2
0dCKce6tJJdHvlWnDMwzPW,74,65,0.723,0.969,6,-4.516,1,0.142,0.0643,0,0.115,0.728,126.653,286800,4,1,1
0DdDnziut7wOo6cAYWVZC5,52.5,69.33333334,0.5835,0.808,3.5,-6.021,0.5,0.0961,0.01385,1,0.1356,0.335,123.455,212729,4,2.5,2
0dE9ooTNz8iEKIKItRI66t,58,63,0.427,0.587,2,-5.527,1,0.033,0.642,0,0.315,0.579,130.149,219160,4,1,1
0DGxaxIejpY55nGrBP83iZ,57,52.66666667,0.725,0.651,5,-4.284,0,0.179,0.0197,0,0.182,0.71,128.028,217617,4,3,2
0djV4iaxhNfYWpH60ia85o,68,57,0.316,0.499,9,-7.899,1,0.0298,0.0108,0,0.126,0.403,174.782,320467,4,1,1
0dQzzLJ1PDiNYZXyT3lodK,1,0,0.563,0.842,11,-2.84,0,0.357,0.251,0,0.269,0.478,142.252,147653,4,1,1
0du5cEVh5yTK9QJze8zA0C,80.15789474,90.24912281,0.676263158,0.614263158,2.105263158,-6.564210526,0.736842105,0.063026316,0.188448421,0,0.158010526,0.607231579,118.0596842,219019.6316,4,2,1.421052632
0dus12DVjr0hoFaUDOz9B5,51,58,0.719,0.663,2,-7.238,0,0.0444,0.0664,1,0.327,0.379,101.965,146495,4,2,2
