popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
82,0.617,0.717,10,-7.858,0,0.153,0.00564,0,0.408,0.49,103.992,311867
67,0.595,0.643,5,-9.275,1,0.0365,0.76,0,0.538,0.73,135.633,158040
56,0.636,0.277,1,-14.185,1,0.0306,0.784,0,0.234,0.685,133.363,220573
77,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325
67,0.381,0.186,4,-15.477,1,0.029,0.613,2.75E-06,0.0694,0.142,65.058,201000
74,0.659,0.678,0,-8.18,1,0.0313,0.157,6.69E-06,0.0784,0.647,106.186,258411
73,0.726,0.449,0,-9.206,1,0.0286,0.487,1.34E-06,0.0824,0.294,130.388,241333
69,0.513,0.442,4,-13.529,1,0.0343,0.00731,0.000838,0.0878,0.243,81.201,229227
38,0.505,0.189,2,-16.352,1,0.0363,0.785,0.00974,0.112,0.236,137.378,544667
77,0.447,0.954,8,-8.069,1,0.0751,0.0235,0.403,0.298,0.331,123.453,272027
78,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23E-06,0.101,0.507,135.998,113000
66,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.499,213693
57,0.662,0.511,0,-8.419,1,0.0342,0.00237,0.0036,0.275,0.228,88.989,407316
65,0.719,0.615,6,-5.972,1,0.045,0.408,0.000147,0.235,0.465,96.988,250973
65,0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.194,0.773,151.486,221840
70,0.846,0.772,11,-5.735,0,0.259,0.0123,0.000106,0.0769,0.622,125.998,204957
73,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,159227
73,0.667,0.599,0,-8.894,1,0.0291,0.245,0,0.107,0.971,127.935,160280
82,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24E-05,0.0842,0.714,119.001,294573
53,0.675,0.311,9,-11.959,1,0.0525,0.93,0.000261,0.102,0.638,97.159,149560
