Artist,Style
Kanye West,chicago rap
Kanye West,rap
The Supremes,brill building pop
The Supremes,classic girl group
The Supremes,disco
The Supremes,motown
The Supremes,quiet storm
The Supremes,soul
Townes Van Zandt,alternative country
Townes Van Zandt,cosmic american
Townes Van Zandt,country rock
Townes Van Zandt,folk
Townes Van Zandt,folk rock
Townes Van Zandt,new americana
Townes Van Zandt,outlaw country
Townes Van Zandt,roots rock
Townes Van Zandt,singer-songwriter
Townes Van Zandt,texas country
Lizzo,dance pop
Lizzo,escape room
Lizzo,minnesota hip hop
Lizzo,pop
Lizzo,trap queen
Harry Nilsson,art rock
Harry Nilsson,brill building pop
Harry Nilsson,classic rock
Harry Nilsson,country rock
Harry Nilsson,folk
Harry Nilsson,folk rock
Harry Nilsson,mellow gold
Harry Nilsson,rock
Harry Nilsson,roots rock
Harry Nilsson,singer-songwriter
Harry Nilsson,soft rock
Carly Simon,adult standards
Carly Simon,classic rock
Carly Simon,country rock
Carly Simon,folk
Carly Simon,folk rock
Carly Simon,mellow gold
Carly Simon,soft rock
Cyndi Lauper,mellow gold
Cyndi Lauper,new wave pop
Cyndi Lauper,permanent wave
Cyndi Lauper,soft rock
Pixies,alternative rock
Pixies,boston rock
Pixies,modern rock
Pixies,permanent wave
Pixies,rock
Miles Davis,cool jazz
Miles Davis,hard bop
Miles Davis,jazz
Miles Davis,jazz fusion
Miles Davis,jazz trumpet
Guns N' Roses,glam metal
Guns N' Roses,hard rock
Guns N' Roses,rock
Lil Nas X,lgbtq+ hip hop
Lil Nas X,pop
The Breeders,alternative pop
The Breeders,alternative rock
The Breeders,boston rock
The Breeders,dayton indie
The Breeders,dream pop
The Breeders,indie rock
The Breeders,post-punk
The Breeders,rock
The Weeknd,canadian contemporary r&b
The Weeknd,canadian pop
The Weeknd,pop
Solange,afrofuturism
Solange,alternative r&b
Solange,dance pop
Solange,escape room
Solange,hip pop
Solange,indie soul
Solange,neo soul
Solange,pop
Solange,r&b
Solange,urban contemporary
Lil Wayne,hip hop
Lil Wayne,new orleans rap
Lil Wayne,pop rap
Lil Wayne,rap
Lil Wayne,trap
Azealia Banks,dance pop
Azealia Banks,escape room
Azealia Banks,hip house
Azealia Banks,lgbtq+ hip hop
Azealia Banks,pop
Azealia Banks,trap queen
Weezer,alternative rock
Weezer,modern power pop
Weezer,modern rock
Weezer,permanent wave
Weezer,rock
Four Tops,adult standards
Four Tops,brill building pop
Four Tops,classic soul
Four Tops,disco
Four Tops,funk
Four Tops,mellow gold
Four Tops,motown
Four Tops,quiet storm
Four Tops,soul
Lady Gaga,art pop
Lady Gaga,dance pop
Lady Gaga,pop
Robert Johnson,acoustic blues
Robert Johnson,blues
Robert Johnson,delta blues
Robert Johnson,pre-war blues
Robert Johnson,traditional blues
Biz Markie,east coast hip hop
Biz Markie,electro
Biz Markie,gangster rap
Biz Markie,golden age hip hop
Biz Markie,hardcore hip hop
Biz Markie,hip hop
Biz Markie,old school hip hop
Biz Markie,rap
Santana,blues rock
Santana,classic rock
Santana,mexican classic rock
JUVENILE,bounce
JUVENILE,crunk
JUVENILE,dirty south rap
JUVENILE,gangster rap
JUVENILE,hip hop
JUVENILE,new orleans rap
JUVENILE,pop rap
JUVENILE,rap
JUVENILE,southern hip hop
JUVENILE,trap
The Go-Go's,album rock
The Go-Go's,candy pop
The Go-Go's,girl group
The Go-Go's,jangle pop
The Go-Go's,mellow gold
The Go-Go's,new romantic
The Go-Go's,new wave
The Go-Go's,new wave pop
The Go-Go's,permanent wave
The Go-Go's,pop rock
The Go-Go's,power pop
The Go-Go's,rock
The Go-Go's,soft rock
The Go-Go's,synthpop
Kris Kristofferson,country rock
Kris Kristofferson,folk
Kris Kristofferson,folk rock
Kris Kristofferson,mellow gold
Kris Kristofferson,outlaw country
Kris Kristofferson,roots rock
Kris Kristofferson,singer-songwriter
Janet Jackson,dance pop
Janet Jackson,hip pop
Janet Jackson,neo soul
Janet Jackson,new jack swing
Janet Jackson,r&b
Janet Jackson,urban contemporary
