Artist,Genre
Kanye West,rap
The Supremes,disco
Townes Van Zandt,folk
Lizzo,pop
Harry Nilsson,folk
Carly Simon,folk
Cyndi Lauper,pop
Pixies,rock
Miles Davis,jazz
Guns N' Roses,rock
Lil Nas X,pop
The Breeders,rock
The Weeknd,pop
Solange,blues
Lil Wayne,rap
Azealia Banks,pop
Weezer,rock
Four Tops,disco
Lady Gaga,pop
Robert Johnson,blues
Biz Markie,disco
Santana,rock
JUVENILE,rap
The Go-Go's,pop
Kris Kristofferson,folk
Janet Jackson,blues
Curtis Mayfield,funk
Tammy Wynette,folk
Peter Gabriel,rock
The Animals,rock
Gladys Knight & The Pips,disco
The Chicks,folk
Mazzy Star,pop
Nirvana,rock
Luther Vandross,blues
Daft Punk,disco
Joni Mitchell,folk
John Lee Hooker,blues
Van Morrison,folk
Roy Orbison,pop
Steel Pulse,reggae
Sade,blues
Beck,rock
Bon Jovi,rock
Lana Del Rey,pop
Jefferson Airplane,rock
Sister Nancy,reggae
Missy Elliott,rap
TOTO,rock
Migos,rap
Neil Young,pop
Blue Öyster Cult,metal
Erykah Badu,blues
The Beatles,rock
Bruce Springsteen,pop
T. Rex,rock
50 Cent,rap
Fall Out Boy,rock
Motörhead,metal
Miranda Lambert,folk
Alicia Keys,blues
Celia Cruz,latin
Beyoncé,pop
Lucinda Williams,folk
Carly Rae Jepsen,pop
Rush,metal
Ramones,punk
Pet Shop Boys,pop
Eddie Cochran,pop
Prince,funk
Pete Rock & C.L. Smooth,hip hop
Queen,rock
Harry Styles,pop
The Sugarhill Gang,disco
Nicki Minaj,pop
Muddy Waters,blues
Blackstreet,blues
Fiona Apple,pop
Craig Mack,rap
The Smiths,rock
The Mamas & The Papas,pop
Mariah Carey,pop
Booker T. & the M.G.'s,funk
Mark Ronson,pop
Pearl Jam,rock
Depeche Mode,pop
Blondie,pop
Them,rock
Neneh Cherry,pop
Wilco,pop
Allman Brothers Band,folk
Foo Fighters,rock
Yusuf / Cat Stevens,folk
Lynyrd Skynyrd,folk
Run–D.M.C.,rap
Selena,latin
KISS,metal
Rufus,disco
Bill Withers,funk
Fleetwood Mac,rock
David Bowie,rock
Sylvester,disco
Duran Duran,pop
Public Enemy,rap
Elvis Costello,folk
Afrika Bambaataa,disco
Jeff Buckley,pop
James Brown,funk
Coldplay,pop
Eric Church,folk
Metallica,metal
Pretenders,pop
DMX,rap
New York Dolls,punk
The Kinks,rock
Diana Ross,disco
Cardi B,rap
Childish Gambino,rap
The Slits,punk
Fountains Of Wayne,pop
D'Angelo,blues
The Killers,rock
The Cure,rock
Merle Haggard,folk
The Drifters,pop
William DeVaughn,soul
Drake,rap
Bonnie Raitt,folk
Elton John,rock
Buddy Holly,pop
The Cars,pop
Soundgarden,rock
Frank Ocean,blues
The Crystals,pop
Sex Pistols,punk
Grateful Dead,folk
Bob Marley & The Wailers,reggae
Kacey Musgraves,pop
Jimmy Cliff,reggae
Fugees,rap
Patti Smith,rock
Taylor Swift,pop
Cheap Trick,pop
Thelma Houston,disco
Michael Jackson,pop
Eurythmics,pop
Ice Cube,rap
Jorge Ben Jor,rock
John Prine,folk
The Zombies,pop
Roxy Music,pop
Elvis Presley,rock
BTS,pop
Carole King,folk
Black Sabbath,metal
The Doobie Brothers,folk
Chuck Berry,soul
The Monkees,folk
The Clash,punk
Cher,pop
Daryl Hall & John Oates,rock
Marshall Jefferson,disco
The Temptations,pop
Rihanna,pop
The Marvelettes,pop
The Notorious B.I.G.,rap
Bad Bunny,latin
Red Hot Chili Peppers,funk
Mary J. Blige,blues
Rilo Kiley,pop
Iggy Pop,punk
Billy Joel,pop
The Everly Brothers,pop
U2,rock
2Pac,rap
Tears For Fears,pop
Big Mama Thornton,blues
Bob Dylan,folk
The Shangri-Las,pop
John Coltrane,jazz
The Stooges,punk
Smokey Robinson & The Miracles,pop
Isaac Hayes,disco
Eagles,folk
The Doors,rock
Liz Phair,pop
Gnarls Barkley,blues
Aretha Franklin,soul
The Police,rock
Kraftwerk,disco
TLC,pop
Pink Floyd,rock
Bob Seger,folk
The B-52's,pop
Screamin' Jay Hawkins,blues
The Beach Boys,pop
Bikini Kill,punk
The Who,rock
The Velvet Underground,rock
Alice Cooper,metal
A Tribe Called Quest,rap
Phil Collins,rock
Usher,pop
Funky 4 + 1,hip hop
AC/DC,rock
ABBA,pop
Destiny's Child,pop
Leonard Cohen,folk
Ray Charles,jazz
INXS,pop
Clipse,rap
Radiohead,rock
Toots & The Maytals,reggae
Bo Diddley,blues
Buzzcocks,punk
Randy Newman,pop
Al Green,funk
Roberta Flack,jazz
Thin Lizzy,metal
Procol Harum,rock
Nine Inch Nails,rock
The Righteous Brothers,pop
The Isley Brothers,disco
