popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
16,0.947,0.969,9,-5.239,0,0.325,0.555,0,0.354,0.53,105.016,135880,4
37,0.77,0.644,2,-4.921,1,0.105,0.0602,0,0.287,0.619,105.047,235973,4
2,0.593,0.87,11,-5.796,1,0.351,0.0654,0,0.125,0.799,89.382,269187,4
0,0.764,0.453,6,-9.589,0,0.0516,0.786,0,0.548,0.591,110.993,313825,4
22,0.675,0.955,10,-3.178,0,0.213,0.0475,0,0.22,0.643,99.972,254067,4
31,0.658,0.551,1,-6.62,1,0.371,0.00423,0.000108,0.197,0.441,138.345,214960,5
37,0.672,0.638,1,-8.315,0,0.335,0.501,3.83E-05,0.136,0.347,87.32,170444,4
22,0.684,0.675,10,-5.275,1,0.102,0.141,0,0.217,0.5,160.231,177013,4
31,0.722,0.927,11,-4.447,1,0.13,0.307,7.31E-05,0.0672,0.742,95.011,219187,4
10,0.517,0.747,6,-4.74,0,0.295,0.0189,7.32E-06,0.0821,0.506,102.033,171980,4
26,0.748,0.638,10,-6.259,0,0.157,0.0106,0,0.293,0.486,92.984,242965,4
43,0.903,0.928,5,-4.172,0,0.134,0.331,0,0.0944,0.903,122.005,227147,4
32,0.897,0.452,8,-7.699,0,0.119,0.286,0,0.0508,0.87,90.008,230013,4
17,0.754,0.896,10,-6.048,0,0.128,0.386,0,0.284,0.735,90.179,255800,4
9,0.555,0.754,10,-5.862,0,0.271,0.485,0,0.0832,0.549,86.783,157195,4
22,0.811,0.587,1,-8.945,0,0.207,0.0247,1.43E-05,0.0892,0.558,91.545,294040,4
2,0.839,0.706,5,-6.104,0,0.199,0.208,0,0.242,0.839,96.673,245133,4
0,0.857,0.875,1,-4.584,1,0.0675,0.00425,0.117,0.053,0.532,157.86,300667,4
5,0.794,0.683,10,-7.15,0,0.145,0.281,1.75E-06,0.0813,0.76,139.986,206987,4
1,0.673,0.827,1,-6.035,1,0.341,0.0843,0,0.115,0.275,96.972,175177,4
16,0.852,0.53,10,-12.026,0,0.329,0.188,0,0.125,0.935,96.954,232587,4
0,0.539,0.556,11,-7.837,1,0.31,0.213,0,0.13,0.64,70.423,268707,4
16,0.755,0.619,4,-8.895,0,0.224,0.03,0,0.213,0.297,86.992,264840,4
0,0.971,0.681,0,-6.183,1,0.133,0.333,0.00113,0.137,0.916,119.031,211116,4
15,0.94,0.892,6,-6.363,0,0.23,0.023,0.000897,0.264,0.583,100.06,180493,4
19,0.753,0.479,2,-8.439,1,0.0424,0.0163,0.837,0.113,0.329,116.015,187594,3
25,0.683,0.894,4,-6.534,0,0.162,0.62,1.59E-06,0.135,0.477,120.076,146240,4
0,0.789,0.422,1,-9.874,0,0.156,0.248,0.0246,0.123,0.547,117.988,194396,4
9,0.777,0.955,8,-4.604,1,0.247,0.074,0,0.394,0.511,102.141,264600,4
1,0.703,0.745,9,-3.9,0,0.285,0.0055,0,0.218,0.47,95.48,273120,4
49,0.839,0.533,2,-12.416,1,0.291,0.0197,0.00104,0.108,0.522,95.895,254929,4
10,0.458,0.764,7,-5.895,1,0.247,0.0464,0,0.102,0.306,77.26,223227,4
5,0.751,0.722,7,-5.783,1,0.0965,0.063,1.59E-05,0.204,0.389,90.029,193293,4
22,0.723,0.775,2,-4.113,1,0.288,0.0787,0.000176,0.28,0.847,100.386,168733,4
5,0.873,0.793,1,-5.901,0,0.049,0.00311,0.00517,0.0756,0.293,116.366,516310,4
15,0.659,0.738,4,-4.077,0,0.361,0.00561,0,0.319,0.516,93.816,251907,4
11,0.801,0.677,7,-8.126,0,0.162,0.274,0,0.0911,0.559,130.001,197784,4
42,0.54,0.64,1,-8.159,0,0.291,0.766,7.17E-05,0.0908,0.23,150.071,197784,4
1,0.506,0.815,1,-7.596,1,0.473,0.142,0,0.169,0.461,86.331,239283,1
13,0.884,0.617,11,-5.598,1,0.233,0.0153,0,0.19,0.402,142.952,183011,4
14,0.402,0.402,9,-10.754,1,0.0464,0.445,0.764,0.276,0.239,139.98,99080,4
20,0.797,0.396,0,-13.587,1,0.31,0.279,0.00521,0.114,0.445,88.921,232173,4
6,0.744,0.694,1,-6.84,1,0.0845,0.144,0,0.132,0.544,136.976,214441,4
49,0.624,0.764,0,-3.724,0,0.0577,0.232,0.00055,0.131,0.961,190.089,213776,4
53,0.558,0.794,7,-5.947,0,0.304,0.174,0,0.157,0.431,184.545,164405,3
