uri,title,popularity,base_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1k1dKi7KYxKxiFeufqTzAp,F40 - Remix,57,89.0,0.611,0.519,9,-5.612,1,0.368,0.018,6.63e-06,0.119,0.469,172.062,145498,4
6EuQOZCGYhXzfAxJ1f6xEc,VIP *-*,1,78.5,0.754,0.846,4,-5.114,0,0.0486,0.278,4e-05,0.519,0.913,99.987,176400,4
7F9cT6hIRhnFCYP6GKS0tf,IMY2 (with Kid Cudi),78,92.0,0.59,0.493,7,-8.704,0,0.0367,0.402,0.00504,0.129,0.0498,150.026,252379,4
7fH13hSOyNoeiDGbjEnTUC,Brivido,68,80.5,0.628,0.69,7,-6.273,0,0.338,0.237,0.0,0.0899,0.431,82.285,227693,4
4RqToqoY1J2IOPh7CxYpB7,LE MADRI DEGLI ALTRI – with Tananai,59,60.5,0.653,0.675,7,-3.95,1,0.385,0.0977,0.0,0.135,0.335,180.143,162667,4
3elLXGwE5zaREuOzWdlRJ2,Domani ci passa,63,57.0,0.708,0.736,11,-4.391,1,0.0398,0.0399,0.0,0.448,0.749,129.959,145463,4
5nRDOsITlnO6fAEJBd8lef,Che fantastica storia è la vita,56,59.0,0.568,0.638,9,-6.311,1,0.0246,0.0773,4.11e-06,0.157,0.233,98.002,358000,4
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,86,89.0,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4
7kjEqI6eZ7YlFrGhxixnlN,ANTES QUE SE ACABE,80,97.0,0.693,0.549,2,-6.098,1,0.0577,0.505,4.73e-05,0.324,0.473,139.988,221187,4
1ojQnukoLrcIU5cEeYydUn,Mistletoe And Holly - Remastered 1999,0,86.0,0.554,0.147,9,-11.111,1,0.0373,0.823,0.0,0.0754,0.345,108.791,137547,4
3U4yZniE7s9tDA037nUG2r,Maledetta primavera,54,44.0,0.473,0.603,8,-6.242,1,0.0291,0.185,9.24e-05,0.566,0.352,136.104,253160,3
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),94,93.5,0.687,0.781,1,-4.806,1,0.053,0.0361,0.0,0.0755,0.688,97.014,193507,4
6kopmMZiyLmw7h66uXcXR7,Valerie (feat. Amy Winehouse) - Version Revisited,75,78.0,0.699,0.83,1,-4.898,1,0.0633,0.00243,0.00024,0.0995,0.889,105.809,219413,4
4V5gmy8imyB0TJwdIYuGRv,Caffè,61,57.5,0.67,0.785,8,-6.119,1,0.0424,0.0149,0.0,0.0934,0.534,94.509,189108,4
3qKGvSu1inEZKwYQnMavNA,Smack That,78,87.5,0.94,0.743,5,-5.166,0,0.0475,0.317,0.0,0.0909,0.932,118.988,212360,4
2opABwU6afitjf6coLJg2c,traitor,5,91.0,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,4
6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,84,70.0,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,192790,5
1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,80,77.0,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,4
2DzJYaFlsNdpmfoHMYecZ4,SPENSIERATEZZA,59,66.0,0.408,0.603,4,-7.42,1,0.329,0.559,0.0,0.111,0.131,86.462,169715,4
1JskyjjCFpc1GUfrWacUkB,White Christmas,0,81.0,0.267,0.334,4,-12.518,1,0.0306,0.702,0.00257,0.326,0.152,83.443,172707,4
1XsywkR0iqgqPXreVHId1v,Te Regalo,1,85.0,0.644,0.671,9,-6.673,1,0.166,0.218,0.0,0.286,0.558,174.108,181093,4
06RGdoTHoxRRIadjK6l8hx,Il bambino che contava le stelle,65,72.0,0.707,0.39,6,-6.81,0,0.0419,0.758,0.0,0.17,0.439,89.9,147973,4
6go4xw6EKPlpc8j1vfydaS,BIMBI PER STRADA (CHILDREN),60,67.5,0.649,0.804,5,-5.452,0,0.178,0.0215,0.0,0.11,0.549,134.013,200821,4
0wssYMdZMPBlLyx197Nn0N,"Don Giovanni, K. 527 / Act 2: ""Deh! vieni alla finestra""",0,30.75,0.343,0.0553,2,-26.013,1,0.0411,0.979,0.000691,0.0996,0.259,140.396,119867,3
